번호,시간,회사명,종목코드,공시제목,제출인
99,2001-12-21 14:01,피에스엠씨,24850,회계정책변경결정,피에스엠씨
98,2001-12-18 10:38,KCI,36670,대표이사변경,케이씨아이
97,2001-12-14 16:28,퓨쳐비젼,42570,대표이사변경,퓨쳐비젼
96,2001-12-11 15:34,스카이문스테크놀로지,33790,회계정책변경결정,스카이문스테크놀로지
95,2001-12-05 19:01,세라온,50600,상장유가증권(협회등록주권)관련이외의소제기,세라온홀딩스
94,2001-11-30 19:10,대호특수강,21040,회사재산보전처분결정,대호특수강
93,2001-11-26 16:38,세븐코스프,17160,화의채무변제완료보고서제출,세븐코스프
92,2001-11-23 18:36,대호특수강,21040,회사정리절차개시신청,대호특수강
91,2001-11-23 17:34,브이에스에스티,35400,상장유가증권(협회등록주권)관련이외의소제기,쓰리디넷
90,2001-11-19 17:56,스카이문스테크놀로지,33790,대표이사변경,스카이문스테크놀로지
89,2001-11-19 16:20,아큐텍,13780,대표이사변경,아큐텍
88,2001-11-19 14:47,KNS홀딩스,36760,대표이사변경,케이엔에스홀딩스
87,2001-11-13 14:52,엠엔에프씨,48640,대표이사변경,엠엔에프씨
86,2001-11-01 12:04,에이엠에스,44770,대표이사변경,에이엠에스
85,2001-10-23 18:18,씨앤케이인터,39530,대표이사변경,씨앤케이인터내셔널
84,2001-10-22 18:11,일지테크,19540,회계정책변경결정,일지테크
83,2001-10-18 11:55,심텍홀딩스,36710,[정정]대표이사변경,심텍홀딩스
82,2001-10-18 11:38,심텍홀딩스,36710,대표이사변경[정],심텍홀딩스
81,2001-10-15 08:04,대호특수강,21040,대표이사변경,대호특수강
80,2001-10-12 15:09,메디앙스,14100,대표이사변경,메디앙스
79,2001-10-09 18:41,쎄라텍,41550,대표이사변경,쎄라텍
78,2001-10-09 13:10,에코플라스틱,38110,대표이사변경,에코플라스틱
77,2001-10-08 16:54,성우몰드,53440,회계추정변경결정,성우몰드
76,2001-10-04 19:26,모헨즈,6920,대표이사변경,모헨즈
75,2001-10-04 11:58,경윤하이드로,19120,[정정]대표이사변경,경윤하이드로에너지
74,2001-10-04 10:42,경윤하이드로,19120,대표이사변경[정],경윤하이드로에너지
73,2001-09-28 17:02,동진쎄미켐,5290,상장유가증권(협회등록주권)관련이외의소제기,동진쎄미켐
72,2001-09-28 15:20,쎄라텍,41550,회계정책변경결정,쎄라텍
71,2001-09-28 14:09,피에스케이홀딩스,31980,회계정책변경결정,피에스케이홀딩스
70,2001-09-20 16:07,엔토리노,32590,대표이사변경,엔토리노
69,2001-09-13 16:38,나노트로닉스,10670,대표이사변경,나노트로닉스
68,2001-09-11 16:10,나노트로닉스,10670,대표이사변경,나노트로닉스
67,2001-09-11 11:48,모빌링크,41310,대표이사변경,모빌링크텔레콤
66,2001-09-10 17:40,한국팩키지,37230,대표이사변경,한국팩키지
65,2001-09-07 17:37,쎄라텍,41550,대표이사변경,쎄라텍
64,2001-08-11 10:30,나노트로닉스,10670,대표이사변경,나노트로닉스
63,2001-08-09 17:03,한탑,2680,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,한탑
62,2001-07-27 16:50,엠케이전자,33160,대표이사변경,엠케이전자
61,2001-07-27 15:00,경창산업,24910,회계추정변경결정,경창산업
60,2001-07-26 18:58,나노트로닉스,10670,[정정]대표이사변경,나노트로닉스
59,2001-07-26 18:53,나노트로닉스,10670,대표이사변경,나노트로닉스
58,2001-07-23 16:16,대동기어,8830,대표이사변경,대동기어
57,2001-07-19 15:12,녹십자셀,31390,대표이사변경,녹십자셀
56,2001-07-18 15:06,이화전기,24810,대표이사변경,이화전기공업
55,2001-07-16 10:35,동양텔레콤,7150,대표이사변경,동양텔레콤
54,2001-07-13 15:43,나노트로닉스,10670,대표이사변경[정],나노트로닉스
53,2001-07-10 17:18,아이에이,38880,상장유가증권(협회등록주권)관련이외의소제기,아이에이
52,2001-07-05 11:00,삼아제약,9300,대표이사변경,삼아제약
51,2001-07-03 09:59,모베이스전자,12860,대표이사변경,모베이스전자
50,2001-06-29 12:25,대호특수강,21040,대표이사변경,대호특수강
49,2001-06-27 09:26,유니셈,36200,회계추정변경결정,유니셈
48,2001-06-27 09:26,유니셈,36200,회계정책변경결정,유니셈
47,2001-06-26 12:18,동국산업,5160,상장유가증권(협회등록주권)관련이외의소송의확정,동국산업
46,2001-06-25 14:47,에스씨디,42110,대표이사변경,에스씨디
45,2001-06-01 12:44,엔피케이,48830,[정정]대표이사변경,엔피케이
44,2001-06-01 12:24,엔피케이,48830,대표이사변경[정],엔피케이
43,2001-05-31 11:29,데코,13650,상장유가증권(협회등록주권)관련이외의소제기,데코
42,2001-05-18 18:16,인지디스플레,37330,대표이사변경,인지디스플레이
41,2001-05-09 14:40,대주산업,3310,대표이사변경,대주산업
40,2001-05-04 18:19,원익홀딩스,30530,대표이사변경,원익홀딩스
39,2001-04-12 10:23,삼목에스폼,18310,대표이사변경,삼목에스폼
38,2001-04-10 12:05,경동제약,11040,대표이사변경,경동제약
37,2001-04-03 14:27,ST&I,31800,상장유가증권(협회등록주권)관련이외의소제기,에스티앤아이
36,2001-04-03 14:11,넥스콘테크,38990,대표이사변경,넥스콘테크놀러지
35,2001-04-03 00:00,ST&I,31800,상장유가증권(협회등록주권)관련이외의소송의확정(씨티아이반도체(주) 상장유가증권(협회등록주권)관련이외의소-2),
34,2001-04-02 14:23,지오엠씨,33030,회계정책변경결정,지오엠씨
33,2001-03-31 12:04,모빌링크,41310,대표이사변경,모빌링크텔레콤
32,2001-03-30 19:14,원익홀딩스,30530,대표이사변경,원익홀딩스
31,2001-03-30 11:01,원익홀딩스,30530,대표이사변경,원익홀딩스
30,2001-03-29 17:18,에이프로테크놀로지,45470,대표이사변경,에이프로테크놀로지
29,2001-03-27 19:09,대선조선,31990,[정정]회계추정변경결정,대선조선
28,2001-03-27 17:54,대선조선,31990,회계추정변경결정[정],대선조선
27,2001-03-27 17:38,KB오토시스,24120,대표이사변경,KB오토시스
26,2001-03-26 17:22,대원산업,5710,회계정책변경결정,대원산업
25,2001-03-26 16:59,나노트로닉스,10670,대표이사변경,나노트로닉스
24,2001-03-24 13:20,에이치엘비,28300,회계정책변경결정,에이치엘비
23,2001-03-24 13:20,에이치엘비,28300,회계추정변경결정,에이치엘비
22,2001-03-24 12:10,와이즈파워,40670,대표이사변경,와이즈파워
21,2001-03-24 12:06,성우하이텍,15750,대표이사변경,성우하이텍
20,2001-03-23 20:26,녹십자셀,31390,대표이사변경,녹십자셀
19,2001-03-21 15:26,삼보산업,9620,대표이사변경,삼보산업
18,2001-03-20 15:35,미주제강,2670,대표이사변경,미주제강
17,2001-03-20 14:59,모라리소스,18890,대표이사변경,브이오산업
16,2001-03-16 17:49,이앤텍,47450,대표이사변경,이앤텍
15,2001-03-16 16:12,바이오스마트,38460,대표이사변경,바이오스마트
14,2001-03-15 16:48,대동기어,8830,회계추정변경결정,대동기어
13,2001-03-14 18:22,모라리소스,18890,[정정]대표이사변경,브이오산업
12,2001-03-14 16:08,모라리소스,18890,대표이사변경[정],브이오산업
11,2001-03-13 17:26,지노시스템,33850,회계추정변경결정,지노시스템
10,2001-03-13 16:28,대한광통신,10170,[정정]회계정책변경결정,대한광통신
9,2001-03-12 21:18,대한광통신,10170,회계정책변경결정[정],대한광통신
8,2001-03-12 18:41,대한광통신,10170,대표이사변경,대한광통신
7,2001-03-06 15:57,사라콤,40020,회계정책변경결정,사라콤
6,2001-02-22 18:34,엔케이바이오,19260,화의채무변제완료보고서제출,셀텍
5,2001-02-20 18:19,태경케미컬,6890,회계추정변경결정,태경케미컬
4,2001-02-07 17:43,데코앤이,17680,벌금등의부과,데코앤이
3,2001-02-03 13:21,한탑,2680,[정정]상장유가증권(협회등록주권)관련이외의소제기,한탑
2,2001-02-03 13:05,한탑,2680,상장유가증권(협회등록주권)관련이외의소제기[정],한탑
1,2001-01-04 13:36,지오엠씨,33030,대표이사변경,지오엠씨
136,2002-12-31 15:11,데코,13650,대표이사변경,데코
135,2002-12-30 14:18,다휘,55250,대표이사변경,다휘
134,2002-12-27 11:19,엔피케이,48830,회계정책변경결정,엔피케이
133,2002-12-23 13:56,이수페타시스,7660,대표이사변경,이수페타시스
132,2002-12-14 14:00,인지디스플레,37330,[정정]대표이사변경,인지디스플레이
131,2002-12-14 13:28,인지디스플레,37330,대표이사변경[정],인지디스플레이
130,2002-12-13 14:19,서호전기,65710,회계추정변경결정[정],서호전기
129,2002-12-12 11:12,피에스엠씨,24850,회계추정변경결정,피에스엠씨
128,2002-12-10 15:41,태경케미컬,6890,대표이사변경,태경케미컬
127,2002-12-10 14:18,이랜텍,54210,벌금등의부과,이랜텍
126,2002-12-09 17:34,태경케미컬,6890,대표이사변경,태경케미컬
125,2002-12-06 14:54,알티전자,32290,대표이사변경,케이디지엠텍
124,2002-12-05 16:21,에이치엘비파워,43220,대표이사변경,에이치엘비파워
123,2002-12-03 19:31,보성파워텍,6910,회계정책변경결정,보성파워텍
122,2002-11-27 17:45,씨엘인터내셔널,37340,대표이사변경,씨엘인터내셔널
121,2002-11-27 16:16,프로비타,14420,대표이사변경,프로비타
120,2002-11-25 17:26,하이록코리아,13030,상장유가증권(협회등록주권)관련이외의소제기,하이록코리아
119,2002-11-25 14:59,현대바이오,48410,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,현대바이오사이언스
118,2002-11-15 17:09,푸드웰,5670,[정정]대표이사변경,푸드웰
117,2002-11-14 18:30,푸드웰,5670,대표이사변경[정],푸드웰
116,2002-11-11 12:01,클라우드에어,36170,대표이사변경,클라우드에어
115,2002-11-06 16:58,태경케미컬,6890,대표이사변경,태경케미컬
114,2002-11-05 19:05,유아이에너지,50050,대표이사변경,유아이에너지
113,2002-11-01 12:02,대림제지,17650,회계추정변경결정,대림제지
112,2002-10-30 09:14,에이치엘비,28300,대표이사변경,에이치엘비
111,2002-10-29 15:47,아이에이,38880,상장유가증권(협회등록주권)관련이외의소제기,아이에이
110,2002-10-25 14:31,카카오M,16170,대표이사변경,카카오엠
109,2002-10-04 17:05,삼아제약,9300,대표이사변경,삼아제약
108,2002-10-01 15:31,오스템,31510,대표이사변경,오스템
107,2002-10-01 14:51,대웅바이오,16890,대표이사변경,대웅바이오
106,2002-10-01 12:57,하이록코리아,13030,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,하이록코리아
105,2002-09-30 14:21,트레이스,52290,대표이사변경,트레이스
104,2002-09-30 11:36,유니셈,36200,회계정책변경결정,유니셈
103,2002-09-28 13:26,모빌링크,41310,대표이사변경,모빌링크텔레콤
102,2002-09-27 13:50,씨엘인터내셔널,37340,대표이사변경,씨엘인터내셔널
101,2002-09-27 13:18,에이치엘비,28300,[정정]대표이사변경,에이치엘비
100,2002-09-25 15:51,선팩테크,54010,대표이사변경,선팩테크
99,2002-09-24 18:21,오페스,53470,벌금등의부과,오페스
98,2002-09-19 17:35,에이치엘비,28300,대표이사변경[정],에이치엘비
97,2002-09-18 16:13,플래닛82,57330,대표이사변경,플래닛팔이
96,2002-09-18 15:56,에듀아크,46350,대표이사변경,에듀아크
95,2002-09-16 17:35,에이원마이크로,37380,대표이사변경,에이원마이크로
94,2002-09-13 15:59,이지홀딩스,35810,회계정책변경결정,이지홀딩스
93,2002-09-11 17:24,풍국주정,23900,벌금등의부과,풍국주정공업
92,2002-09-10 16:48,아이에이,38880,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,아이에이
91,2002-09-09 15:34,위노바,39790,대표이사변경,위노바
90,2002-09-03 15:56,에이디칩스,54630,벌금등의부과,에이디칩스
89,2002-09-03 15:19,성호전자,43260,대표이사변경,성호전자
88,2002-09-02 17:55,인바디,41830,회계추정변경결정,인바디
87,2002-08-30 11:42,한일단조,24740,대표이사변경,한일단조공업
86,2002-08-23 11:23,KNS홀딩스,36760,대표이사변경,케이엔에스홀딩스
85,2002-08-19 16:49,폴켐,33190,대표이사변경,폴켐
84,2002-08-17 10:38,카카오M,16170,벌금등의부과,카카오엠
83,2002-08-16 15:25,대양제지,6580,회계정책변경결정,대양제지공업
82,2002-08-14 18:36,포이보스,38810,벌금등의부과,포이보스
81,2002-08-14 17:30,포이보스,38810,대표이사변경,포이보스
80,2002-08-13 18:08,KH바텍,60720,회계추정변경결정,케이에이치바텍
79,2002-08-13 16:12,에프아이투어,47370,회계추정변경결정,에프아이투어
78,2002-08-13 15:04,인바디,41830,회계추정변경결정,인바디
77,2002-08-10 13:11,케이엠에스,38830,대표이사변경,케이엠에스
76,2002-08-09 16:05,상신브레이크,41650,회계추정변경결정,상신브레이크
75,2002-08-09 11:50,트레이스,52290,회계추정변경결정,트레이스
74,2002-08-06 11:51,코디콤,41800,[정정]대표이사변경,코디콤
73,2002-08-06 10:38,코디콤,41800,대표이사변경[정],코디콤
72,2002-08-02 08:54,글로포스트,37830,대표이사변경,글로포스트
71,2002-07-31 11:29,에이스침대,3800,대표이사변경,에이스침대
70,2002-07-02 11:06,SK머티리얼즈,36490,대표이사변경,에스케이 머티리얼즈
69,2002-06-28 15:46,이화전기,24810,대표이사변경,이화전기공업
68,2002-06-21 16:20,에이텍,45660,회계추정변경결정,에이텍
67,2002-06-21 16:19,에이텍,45660,회계추정변경결정,에이텍
66,2002-06-18 18:31,ST&I,31800,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,에스티앤아이
65,2002-06-17 16:03,뉴보텍,60260,회계정책변경결정,뉴보텍
64,2002-05-28 12:14,PN풍년,24940,대표이사변경,피엔풍년
63,2002-05-25 12:18,에이치엘비파워,43220,대표이사변경,에이치엘비파워
62,2002-05-21 18:16,에이치엘비,28300,회사정리절차종결결정,에이치엘비
61,2002-05-20 19:13,에이치엘비,28300,대표이사변경,에이치엘비
60,2002-05-20 14:25,정산애강,22220,대표이사변경,정산애강
59,2002-05-18 13:04,퓨쳐비젼,42570,대표이사변경,퓨쳐비젼
58,2002-05-13 15:56,어울림 네트,42820,대표이사변경,어울림 네트웍스
57,2002-05-07 17:04,포이보스,38810,대표이사변경,포이보스
56,2002-05-03 11:08,쌈지,33260,대표이사변경,쌈지
55,2002-04-24 17:35,인지디스플레,37330,대표이사변경,인지디스플레이
54,2002-04-17 17:42,에이치엘비,28300,회사정리절차종결신청,에이치엘비
53,2002-04-13 12:10,케이알,35950,대표이사변경,케이알
52,2002-04-12 14:30,행남사,8800,대표이사변경,행남사
51,2002-04-11 10:48,피델릭스,32580,대표이사변경,피델릭스
50,2002-04-04 17:21,어울림 네트,42820,대표이사변경,어울림 네트웍스
49,2002-04-04 11:41,대아티아이,45390,대표이사변경,대아티아이
48,2002-04-04 09:27,에이치엘비,28300,대표이사변경,에이치엘비
47,2002-04-03 13:58,ST&I,31800,대표이사변경,에스티앤아이
46,2002-04-02 12:26,폴켐,33190,대표이사변경,폴켐
45,2002-04-02 11:20,엔피케이,48830,대표이사변경,엔피케이
44,2002-03-29 18:47,원풍,8370,대표이사변경,원풍
43,2002-03-29 15:34,대륙제관,4780,대표이사변경,대륙제관
42,2002-03-28 14:50,파세코,37070,대표이사변경,파세코
41,2002-03-27 18:45,세라온,50600,대표이사변경,세라온홀딩스
40,2002-03-27 15:33,카카오M,16170,대표이사변경,카카오엠
39,2002-03-27 14:42,카카오M,16170,대표이사변경,카카오엠
38,2002-03-26 16:39,코아시아,45970,대표이사변경,코아시아
37,2002-03-23 14:09,메디앙스,14100,대표이사변경,메디앙스
36,2002-03-23 11:50,코센,9730,대표이사변경,코센
35,2002-03-23 11:16,모라리소스,18890,대표이사변경,브이오산업
34,2002-03-22 22:24,크린앤사이언스,45520,대표이사변경,크린앤사이언스
33,2002-03-22 21:33,CMG제약,58820,대표이사변경,CMG제약
32,2002-03-22 15:45,행남사,8800,대표이사변경,행남사
31,2002-03-22 11:58,모보,51810,대표이사변경,모보
30,2002-03-21 18:43,포스코엠텍,9520,대표이사변경,포스코엠텍
29,2002-03-21 17:55,엔토리노,32590,대표이사변경,엔토리노
28,2002-03-21 14:54,데코,13650,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,데코
27,2002-03-18 19:40,브이에스에스티,35400,대표이사변경,쓰리디넷
26,2002-03-18 18:58,한국아트라스비엑스,23890,대표이사변경,한국아트라스비엑스
25,2002-03-18 16:09,와이즈파워,40670,대표이사변경,와이즈파워
24,2002-03-16 12:52,피에스엠씨,24850,대표이사변경,피에스엠씨
23,2002-03-16 10:53,데코,13650,대표이사변경,데코
22,2002-03-15 19:16,AJS,13340,[정정]대표이사변경,뉴아세아조인트
21,2002-03-15 18:55,AJS,13340,대표이사변경[정],뉴아세아조인트
20,2002-03-14 17:55,제이엠아이,33050,회계정책변경결정,제이엠아이
19,2002-03-13 17:55,케이엠에스,38830,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,케이엠에스
18,2002-03-13 11:07,한일화학,7770,대표이사변경,한일화학공업
17,2002-03-07 18:20,이지홀딩스,35810,회계추정변경결정,이지홀딩스
16,2002-02-27 16:40,한국컴퓨터,54040,대표이사변경,한국컴퓨터
15,2002-02-25 17:42,원일특강,12620,벌금등의부과,원일특강
14,2002-02-22 12:16,세라온,50600,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,세라온홀딩스
13,2002-02-20 15:54,태광이엔시,48140,대표이사변경,태광이엔시
12,2002-02-19 16:45,비츠로시스,54220,회계정책변경결정,비츠로시스
11,2002-02-18 14:23,미코,59090,회계추정변경결정,미코
10,2002-02-14 10:17,KCI,36670,대표이사변경,케이씨아이
9,2002-02-07 09:13,에이치엘비,28300,대표이사변경,에이치엘비
8,2002-02-05 11:07,성우테크론,45300,회계정책변경결정,성우테크론
7,2002-02-04 14:37,대주산업,3310,대표이사변경,대주산업
6,2002-02-01 15:15,대주산업,3310,대표이사변경,대주산업
5,2002-01-24 18:35,경남스틸,39240,[정정]회계추정변경결정,경남스틸
4,2002-01-24 14:47,경남스틸,39240,회계추정변경결정[정],경남스틸
3,2002-01-18 17:08,하이록코리아,13030,상장유가증권(협회등록주권)관련이외의소제기,하이록코리아
2,2002-01-04 17:00,에코플라스틱,38110,회계추정변경결정,에코플라스틱
1,2002-01-02 10:37,릭스솔루션,29480,대표이사변경,릭스솔루션
195,2003-12-31 16:14,CBI,13720,대표이사변경,씨비아이
194,2003-12-30 10:42,화성밸브,39610,회계정책변경결정,화성밸브
193,2003-12-29 17:58,영진코퍼레이션,53330,대표이사변경,영진코퍼레이션
192,2003-12-29 16:47,홈캐스트,64240,회계정책변경결정,홈캐스트
191,2003-12-26 18:53,한국알콜,17890,대표이사변경,한국알콜산업
190,2003-12-24 15:23,JW신약,67290,[정정]벌금등의부과,제이더블유신약
189,2003-12-24 14:12,유아이엘,49520,대표이사변경,유아이엘
188,2003-12-19 18:26,삼보판지,23600,[정정]상장유가증권(협회등록주권)관련이외의소송의확정,삼보판지
187,2003-12-19 17:29,중앙디앤엠,51980,대표이사변경,중앙디앤엠
186,2003-12-19 14:56,티씨케이,64760,대표이사변경,티씨케이
185,2003-12-17 15:38,삼보모터스,53700,벌금등의부과,삼보모터스
184,2003-12-16 20:13,삼보판지,23600,상장유가증권(협회등록주권)관련이외의소송의확정[정],삼보판지
183,2003-12-15 17:45,카카오M,16170,상장유가증권(협회등록주권)관련이외의소제기,카카오엠
182,2003-12-15 14:10,팜스토리,27710,대표이사변경,팜스토리
181,2003-12-10 11:52,인터엠,17250,대표이사변경,인터엠
180,2003-12-05 14:25,와이즈파워,40670,대표이사변경,와이즈파워
179,2003-12-04 17:56,디에스티,33430,상장유가증권(협회등록주권)관련이외의소제기,디에스티
178,2003-12-02 18:00,한국테크놀로지,53590,상장유가증권(협회등록주권)과관련한소의기각_각하또는취하,한국테크놀로지
177,2003-12-02 12:12,씨엘인터내셔널,37340,대표이사변경,씨엘인터내셔널
176,2003-11-28 13:40,삼지전자,37460,대표이사변경,삼지전자
175,2003-11-25 13:07,삼보모터스,53700,상장유가증권(협회등록주권)관련이외의소제기,삼보모터스
174,2003-11-20 20:10,한국테크놀로지,53590,상장유가증권(협회등록주권)과관련한소제기,한국테크놀로지
173,2003-11-20 13:49,티씨케이,64760,회계추정변경결정,티씨케이
172,2003-11-20 10:15,쎄라텍,41550,대표이사변경,쎄라텍
171,2003-11-19 17:12,케이엠에스,38830,대표이사변경,케이엠에스
170,2003-11-17 14:27,현대바이오랜드,52260,대표이사변경,현대바이오랜드
169,2003-11-14 17:09,아큐텍,13780,벌금등의부과,아큐텍
168,2003-11-13 18:24,피델릭스,32580,대표이사변경,피델릭스
167,2003-11-11 14:53,삼보모터스,53700,상장유가증권(협회등록주권)과관련한소송의확정,삼보모터스
166,2003-11-10 14:23,파세코,37070,대표이사변경,파세코
165,2003-11-07 16:19,삼보모터스,53700,상장유가증권(협회등록주권)과관련한소제기,삼보모터스
164,2003-11-07 09:59,카카오M,16170,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,카카오엠
163,2003-10-22 16:05,데코,13650,대표이사변경,데코
162,2003-10-17 20:08,포이보스,38810,대표이사변경,포이보스
161,2003-10-17 18:09,비엔디,47940,대표이사변경,비엔디
160,2003-10-17 17:59,재영솔루텍,49630,벌금등의부과,재영솔루텍
159,2003-10-17 17:22,JW신약,67290,벌금등의부과[정],제이더블유신약
158,2003-10-14 14:13,화성밸브,39610,상장유가증권(협회등록주권)관련이외의소제기,화성밸브
157,2003-10-13 13:59,인터플렉스,51370,대표이사변경,인터플렉스
156,2003-10-10 19:38,성호전자,43260,대표이사변경,성호전자
155,2003-10-10 14:30,홈캐스트,64240,대표이사변경,홈캐스트
154,2003-10-10 10:19,코센,9730,대표이사변경,코센
153,2003-10-07 17:51,카카오M,16170,상장유가증권(협회등록주권)관련이외의소제기,카카오엠
152,2003-10-07 15:45,모빌링크,41310,대표이사변경,모빌링크텔레콤
151,2003-09-23 16:37,주성엔지니어링,36930,회계정책변경결정,주성엔지니어링
150,2003-09-22 19:08,트레이스,52290,대표이사변경,트레이스
149,2003-09-22 19:06,파세코,37070,상장유가증권(협회등록주권)관련이외의소제기,파세코
148,2003-09-22 17:02,삼보모터스,53700,상장유가증권(협회등록주권)관련이외의소제기,삼보모터스
147,2003-09-19 17:21,에이스디지텍,36550,상장유가증권(협회등록주권)관련이외의소제기[정],에이스디지텍
146,2003-09-16 17:12,미주제강,2670,대표이사변경,미주제강
145,2003-09-16 11:59,릭스솔루션,29480,대표이사변경,릭스솔루션
144,2003-09-15 18:04,삼보모터스,53700,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,삼보모터스
143,2003-09-15 18:04,삼보모터스,53700,상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하,삼보모터스
142,2003-09-09 16:05,파워로직스,47310,회계추정변경결정,파워로직스
141,2003-09-01 16:01,이앤텍,47450,대표이사변경,이앤텍
140,2003-08-28 17:41,디브이에스,46400,대표이사변경,루트원플러스
139,2003-08-28 12:13,동양매직,23020,대표이사변경,동양매직
138,2003-08-22 15:50,헤파호프,39350,대표이사변경,헤파호프코리아
137,2003-08-20 14:50,조아제약,34940,대표이사변경,조아제약
