회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율
(주)ES큐브,050120,2015/12,4.92,-6.88,5.18,627.37,0,0,50.14,8.84,-0.81,173.54,44.44,4.68,-31.33,-44.16
(주)ES큐브,050120,2016/12,121.67,683.64,92.07,-0.47,0,383.86,5.77,55.62,-5.61,313.64,-23.08,148.93,22.71,13.71
(주)ES큐브,050120,2017/12,0.37,60.62,3.16,-8.03,0,-93.02,-2.96,2.24,6.57,-81.3,16.67,-1.61,-8.66,-12.36
(주)ES큐브,050120,2018/12,3.46,44.96,-35.09,-68.14,,0,37.25,-6.83,-15.62,-94.33,-14.29,32.18,-1.56,28.64
(주)ES큐브,050120,2019/12,25.43,-2.8,-16.37,-15.01,,0,-16.38,-18.84,-8.88,-3205.84,0,40.72,-8.88,-1.96
(주)ES큐브,050120,2020/12,-39.74,-94.76,-69.03,147.19,,0,36.71,35.13,6.19,0,-20,-33.37,32.74,16.3
(주)가비아,079940,2002/12,,,,,,,,,,,,,,
(주)가비아,079940,2003/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)가비아,079940,2004/12,30.38,8.02,32.42,14.8,17.71,16.19,0,47.21,23.6,0,0,25.54,0,0
(주)가비아,079940,2005/12,96.6,527.75,54.8,32.75,27.79,30.14,0,126.14,42.33,0,0,201.18,0,0
(주)가비아,079940,2006/12,20.51,7.8,22.52,29.42,,20.98,0,19.13,12.63,18.72,8.16,17.92,4.13,12.58
(주)가비아,079940,2007/12,68.36,-2.38,-18.38,21.73,,45.67,0,42.23,14.46,36.28,3.77,184.25,10.3,22.74
(주)가비아,079940,2008/12,26.64,-2.92,72.93,41.49,0,-34.45,0,1.12,14.76,-25.37,2.73,8.89,11.72,-13.97
(주)가비아,079940,2009/12,-1.19,-0.48,-22.69,-6.34,0,66.58,0,26.55,7.59,20.93,15.04,11.91,-6.48,7.69
(주)가비아,079940,2010/12,13.65,22.54,12.94,12.34,0,18.83,0,14.58,18.3,-0.57,19.23,13.94,-0.78,0.77
(주)가비아,079940,2011/12,5.66,44.45,-11.01,-4.34,0,-13.46,0,9.5,29.64,-13.56,23.23,12.61,5.21,-2.7
(주)가비아,079940,2012/12,38.88,231.54,3.97,-24.88,0,75.88,539.85,28.26,13.88,9.3,10.47,50.38,3.08,24.94
(주)가비아,079940,2013/12,0.69,-4.28,7.77,2.91,0,-34,-12.35,11.74,5.26,-9.79,8.06,-0.93,-2.59,-2.89
(주)가비아,079940,2014/12,7.35,-1.85,43.97,13.71,0,-18.75,0,9.55,8.39,4.37,8.33,-1.73,0.05,3.04
(주)가비아,079940,2015/12,2.99,-0.46,16.9,31.31,0,39.37,0,11.33,10.34,12.13,6.07,-2.06,4.02,11.25
(주)가비아,079940,2016/12,6.08,0.99,-29.82,-12.14,0,-17.36,0,6.93,2.03,-0.74,2.29,21.64,-0.25,10.37
(주)가비아,079940,2017/12,6.25,-0.3,23.53,-20.23,0,-29.64,0,4.95,5.94,-5.91,2.61,1.93,3.24,1.02
(주)가비아,079940,2018/12,6.66,9.23,21.65,29.27,,10.79,0,4.55,5.41,6.19,1.82,2.12,3.53,6.63
(주)가비아,079940,2019/12,19.69,62.64,-26.03,19.07,,68.48,0,8.53,5.54,19.2,-1.07,36.2,6.68,-1.44
(주)가비아,079940,2020/12,18.22,16.81,49.74,45.83,,2.22,0,7.91,10.03,-1.18,7.58,12.04,2.28,0.31
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2015/12,248.26,13.4,406.58,0,0,0,49.75,377.29,613.09,0,0,76.75,0,0
(주)강스템바이오텍,217730,2016/12,89.9,35.55,100.92,0,,0,74.02,8.19,-43.23,0,27.42,55.69,-55.45,45.19
(주)강스템바이오텍,217730,2017/12,-6.18,208.99,-35.95,0,0,0,196.02,7.36,540.04,0,-5.06,113.1,574.18,20.38
(주)강스템바이오텍,217730,2018/12,48.7,13.93,81.24,0,,0,-70.9,94.36,-81.44,0,18.67,9.51,-84.36,-15.78
(주)강스템바이오텍,217730,2019/12,49.02,59.91,13.76,0,,0,-93.16,47.76,-71.82,0,14.61,119.28,-75.41,6.39
(주)강스템바이오텍,217730,2020/12,-30.95,-0.83,-20.62,0,,0,-19.16,-27.4,4.72,0,-8.82,-41.64,14.85,-12.05
(주)강원,114190,2000/11,,,,,,,,,,,,,,
(주)강원,114190,2001/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)강원,114190,2002/11,6.05,13.06,6.94,505.13,0,1073.44,-49.47,29.32,87.26,0,0,5.2,0,0
(주)강원,114190,2003/11,-5.76,-37.79,13.89,-78.69,0,-77.72,-27.43,5.18,-23.43,0,0,-24.76,0,0
(주)강원,114190,2004/11,3.69,-3.15,12.47,0,0,-91.15,9.56,-15.85,-12.74,0,0,-9.18,0,0
(주)강원,114190,2005/11,-3.22,-5.64,-7.84,0,0,0,74.01,-23.26,4.49,0,0,5.17,0,0
(주)강원,114190,2006/11,12.67,-4.39,30.36,0,0,0,-28.76,18.33,28.88,0,0,-15.43,0,0
(주)강원,114190,2007/11,66.02,15,85.98,201.15,,264.97,42.78,60.92,38.08,0,0,17.14,0,0
(주)강원,114190,2008/11,30.92,3.74,39.19,91.84,0,-0.02,290.4,31.69,57.24,0,0,-1.26,0,0
(주)강원,114190,2009/11,8.52,-5.15,7.13,-34.75,0,10.99,-37.24,104.28,-21.87,0,0,16.12,0,0
(주)강원,114190,2010/11,-9.56,2.49,-9.96,-58.05,,-33.72,-15.84,7.78,-20.83,-4.55,-12.77,-7.54,-9.24,65.3
(주)강원,114190,2011/11,84.39,13.41,98.89,254.29,0,238.33,439.86,27.34,64.02,110.75,14.63,12.98,43.08,6.43
(주)강원,114190,2012/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)강원,114190,2013/12,-18.84,8.4,-23.52,-72.15,0,-56.3,-45.21,27.06,-52.42,-48.39,10.89,24.16,-57.09,-18.12
(주)강원,114190,2014/12,-7.46,108.97,-20.72,-49.72,0,-71.36,-16.77,9.96,1.62,-56.78,31.25,67.54,-22.58,-15.94
(주)강원,114190,2015/12,20.74,-2.92,20.38,-46,0,-21.14,-28.95,8.79,-5.11,11.95,-9.52,21.7,4.88,0.04
(주)강원,114190,2016/12,-12.46,-2.28,-15.09,0,0,0,-72.83,-2.07,-9.02,6.75,-5.26,-5.52,-3.96,10.83
(주)강원,114190,2017/12,23.9,-2.61,33.43,0,0,0,7.8,-12.33,86.99,-160.58,8.73,1.22,71.97,-9.29
(주)강원,114190,2018/12,2.09,-4.22,5.32,0,,0,50.46,4.6,3.36,0,-13.14,-8.02,18.99,6.83
(주)강원,114190,2019/12,-38.51,2.67,-56.71,0,,0,-78.15,-53.53,-50.47,-466.66,-10.08,26.83,-44.91,50.44
(주)강원,114190,2020/12,-40.12,-30.31,-27.88,0,,0,85.02,-24.85,-9.88,0,-49.53,-55.12,78.57,62.36
(주)강원랜드,035250,2000/12,,,,,,,,,,,,,,
(주)강원랜드,035250,2001/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)강원랜드,035250,2002/12,18.44,126.65,-23.62,-1.51,,1.26,-8.09,38.32,3.04,-16.6,10.42,109.67,-6.69,22.41
(주)게임빌,063080,2004/12,,,,,,,,,,,,,,
(주)게임빌,063080,2005/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)게임빌,063080,2006/12,17.52,236.52,-15.25,-56.91,0,-34.79,0,15.09,36.89,0,0,189.97,0,0
(주)게임빌,063080,2007/12,21.66,178.58,20.44,183.82,,32.46,0,17.8,9.77,0,0,23.53,0,0
(주)게임빌,063080,2008/12,52.42,-0.71,96.13,203.32,0,288.74,0,56.09,25.22,0,0,-13.12,0,0
(주)게임빌,063080,2009/12,137.62,0.95,175.98,118.12,0,124.01,0,166.62,58.69,0,0,7.73,0,0
(주)게임빌,063080,2010/12,32.6,-2.23,34.8,13.64,,24.73,0,38.38,16.94,-4.04,21,13.55,-3.35,-11.62
(주)게임빌,063080,2011/12,31.32,62.75,21.85,8.9,0,5.31,0,27.53,34.42,-7.53,18.18,128.8,13.74,12.55
(주)게임빌,063080,2012/12,25.12,209.16,-4.03,29.13,0,31.77,0,30.38,40.15,5.49,24.48,184.92,12.59,-6.54
(주)게임빌,063080,2013/12,80.4,5.23,-11.4,-44.88,0,-40.69,0,83.29,3.22,-43.59,23.03,249.92,-16.11,34.62
(주)게임빌,063080,2014/12,18.5,32.22,19.78,25.53,0,16.38,0,8.76,122.25,15.16,9.13,17.9,103.65,17.82
(주)게임빌,063080,2015/12,38.65,2.83,58.25,-65.22,0,0,0,-1.43,2.56,-51.05,19.67,29.34,-14.3,-6.1
(주)게임빌,063080,2016/12,-19.66,-20.31,-59.58,-76.8,,0,0,-6.65,-0.06,-77.31,23.08,3.55,-18.8,-14
(주)게임빌,063080,2017/12,-10.56,18.08,-49.8,0,,0,0,-12.84,-44.12,-561.65,19.03,-1.66,-53.06,-19.31
(주)게임빌,063080,2018/12,-11.75,2.19,-29.62,0,,0,0,-25.75,-8.72,0,1.91,-9.69,-10.43,-7.6
(주)게임빌,063080,2019/12,9.06,-83.7,-0.15,0,,0,0,-8.46,18.51,0,-6.56,9.89,26.83,10.38
(주)게임빌,063080,2020/12,9.35,-48.5,5.99,0,,0,0,3.35,-17.4,1501.26,-33.58,9.62,24.37,280.64
(주)경윤하이드로에너지,019120,2000/12,-13.62,2.78,-13.06,-50.19,-41.36,-39.12,-2.02,-4.44,-15.04,-18.36,-3.97,-14.85,-11.53,21.4
(주)경윤하이드로에너지,019120,2001/12,10.07,3.18,13.9,26.89,20.76,19.21,46.1,9.55,0.12,16.75,-0.69,1.35,0.81,7.03
(주)경윤하이드로에너지,019120,2002/12,3.38,44.2,-29.6,-21.72,-12.9,-11.22,0.19,7.77,1.24,-1.85,-0.69,87.78,1.94,6.54
(주)경윤하이드로에너지,019120,2003/12,20.47,10.56,6.78,-91.96,-76.56,-55.44,-12.57,21.07,-11.15,-24.38,12.59,33.59,-21.08,-1.76
(주)경윤하이드로에너지,019120,2004/12,3.9,-12,18.14,-38.87,138.53,34.88,50.32,-0.93,-5.6,-36.51,0.62,-7.02,-6.19,-70.71
(주)경윤하이드로에너지,019120,2005/12,-0.54,-9,1.56,0,-266.22,0,-25.25,1.52,-17.3,-90.37,-0.62,-2.59,-16.79,-5.46
(주)경윤하이드로에너지,019120,2006/12,-0.49,-15.45,-4.81,0,0,0,-38.97,-14.53,6.31,-153.89,-12.42,3.9,21.39,24.25
(주)경윤하이드로에너지,019120,2007/12,-9.51,-15,-31.87,0,,0,-33.78,-18.06,-11.26,0,-8.51,11.3,-3,-13.03
(주)경윤하이드로에너지,019120,2008/12,-24.98,13.37,-72.33,0,0,0,0,-46.43,-17.22,0,-80.62,1.99,327.13,391.69
(주)경윤하이드로에너지,019120,2009/12,33.48,-61.27,254.19,0,0,0,0,161.49,-78.39,0,0,-0.62,-78.39,8.6
(주)경윤하이드로에너지,019120,2010/12,-53.65,86.36,-55.54,0,0,0,0,-63.67,54.13,0,-12,-52.61,75.15,46.52
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)고려시멘트,198440,2018/12,10.06,1.83,29.61,27.17,,362.85,27.42,11.78,-2.15,74.55,1.82,0.31,-3.9,4.84
(주)고려시멘트,198440,2019/12,-0.39,4.84,-6.73,0,,-26.89,63.62,2.24,-17.32,-13.46,-13.39,3.69,-4.53,8.18
(주)고려시멘트,198440,2020/12,-9.21,-0.94,-17.34,0,,30.88,-49.85,4.43,-1.04,30.01,-2.06,-4.5,1.04,-19.68
(주)고바이오랩,348150,2019/12,,,,,,,,,,,,,,
(주)고바이오랩,348150,2020/12,0,0,0,0,,0,0,0,0,0,0,0,0,0
(주)고영테크놀러지,098460,2005/12,,,,,,,,,,,,,,
(주)고영테크놀러지,098460,2006/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)고영테크놀러지,098460,2007/12,49.76,-6.81,56.57,62.74,,59.53,32.21,49.99,40.07,0,0,31.96,0,0
(주)고영테크놀러지,098460,2008/12,105.89,394,95.8,12.53,0,73.86,32.99,133.9,47.48,0,0,137.21,0,0
(주)고영테크놀러지,098460,2009/12,25.75,-1.35,33.06,-61.7,,-85.69,42.66,4.57,-21.64,-58.99,6.25,7.02,-26.25,-10.25
(주)고영테크놀러지,098460,2010/12,38.54,211.69,26.29,729.24,0,1263.64,95.28,51.93,164.56,296.83,10.92,77.55,138.51,38.05
(주)고영테크놀러지,098460,2011/12,26.08,16.09,28.56,1.06,0,4.63,45.44,27.54,12.63,-11.93,22.73,20.45,-8.23,-0.56
(주)고영테크놀러지,098460,2012/12,18.39,3.14,23.11,7.04,0,-10.52,16.63,19.48,25.67,-16.36,24.69,6.97,0.79,7.37
(주)고영테크놀러지,098460,2013/12,17.77,-4.21,23.45,-12.67,0,-0.13,17.97,18.98,3.12,-9.02,10.89,1.98,-7.01,3.02
(주)고영테크놀러지,098460,2014/12,16.93,34.87,14.5,55.97,0,53.72,-25.4,18.29,30.4,16.08,26.79,25.14,2.85,2.22
(주)고영테크놀러지,098460,2015/12,12.9,-2.38,16.63,-5.61,0,2.18,-6.52,12.86,2.23,-2.32,8.1,1.39,-5.43,3.63
(주)고영테크놀러지,098460,2016/12,21.33,21.31,24.89,18.6,0,20.59,0.93,17.97,10.61,14.99,2.61,8.7,7.8,7.3
(주)고영테크놀러지,098460,2017/12,5.85,2.97,2.14,46.63,0,3.01,1.26,4.61,23.28,-5.55,7.94,20.93,14.22,-8.34
(주)고영테크놀러지,098460,2018/12,36.12,34.02,45.36,1.5,,46.78,52.84,39.09,16.35,12.63,20,4.31,-3.05,-20.65
(주)고영테크놀러지,098460,2019/12,10.01,9.39,-1.06,-13.29,,-18.21,9.5,9.92,-4.7,-21.55,15.93,63.1,-17.8,-12.12
(주)고영테크놀러지,098460,2020/12,-1.59,-3.78,-12.17,-66.12,,-78.54,9.73,0.25,-25.02,-48.89,-8.25,29.17,-18.28,-7.31
(주)골드앤에스,035290,2000/12,203.61,589.63,152.32,0,,0,-48.31,145.13,60.57,-84.83,93.51,237.37,-17.02,-4.84
(주)골드앤에스,035290,2001/12,-49.67,-83.28,-67.91,0,0,0,-30.48,-48.22,6.21,-21.58,-21.48,-40.69,35.26,75.73
(주)골드앤에스,035290,2002/12,-19.65,1.63,5.93,0,0,0,12.49,9.86,3.82,143.19,284.62,-26.46,-73.01,-71.8
(주)골드앤에스,035290,2003/12,3.74,-12.97,6.73,0,0,0,108.58,1.97,7.71,47.04,3.56,2.59,4.01,-18.78
(주)골드앤에스,035290,2004/12,10.72,-33.2,21.63,205.17,298.74,298.74,-14.33,9.87,29.01,16.84,1.5,6.36,27.1,11.42
(주)골드앤에스,035290,2005/12,18.13,-18.76,31.94,-22.56,-27.02,27.44,-35.23,9.27,15.66,-2.05,9.73,11.83,5.41,4.74
(주)골드앤에스,035290,2006/12,6.91,6.64,-24.19,0,-247.83,0,86.36,11.09,-3.18,-19.81,10.79,23.66,-12.61,-17.53
(주)골드앤에스,035290,2007/12,13.83,405.88,27.61,0,,0,138.73,4.28,11.8,34.73,-12,9.27,27.04,24.27
(주)골드앤에스,035290,2008/12,6.4,-76.72,6.51,-37.34,0,-94.37,21.95,0.24,5.82,-5.52,10.28,6.36,-4.04,6.71
(주)골드앤에스,035290,2009/12,15.09,9.13,56.66,1.72,0,495.05,13.28,2.17,5.53,170.79,-65.77,-0.96,208.31,143.57
(주)골드앤에스,035290,2010/12,-18.3,17.89,-15.08,-68.51,0,0,-4.94,-27.85,-0.99,-45.33,-7.33,-20.27,6.84,20.36
(주)골드앤에스,035290,2011/12,2.95,-18.37,30.54,406.06,0,0,-6.66,-0.68,-5.87,93.48,-9.04,-15.01,3.48,-0.52
(주)골드앤에스,035290,2012/12,10.17,-14.45,17.89,0,0,0,-7.75,15.97,-7.65,-44.51,-2.48,2.46,-5.29,17.23
(주)골드앤에스,035290,2013/12,-32.42,-4.81,-34.14,0,0,0,18.51,-62.62,-16.59,-106.47,-27.39,-30.44,14.87,34.6
(주)골드앤에스,035290,2014/12,-16.3,-37.98,-12.25,0,0,0,-6.15,-7.43,-19.61,0,-35.09,-20.7,23.84,7.86
(주)골드앤에스,035290,2015/12,-18.3,-40.35,-4.18,0,0,0,-20.77,65.03,-24.57,-236.04,-29.73,-35.31,7.34,-16.24
(주)골드앤에스,035290,2016/12,-22.47,-35.35,-43.45,-63.31,0,0,-15.93,-5.93,-28.4,0,15.38,14.97,-37.95,-24.21
(주)골드앤에스,035290,2017/12,-7.11,73.81,28.32,0,0,0,-46.01,-7.07,-19.45,-179.97,-21.67,-38.21,2.83,37.86
(주)골드앤에스,035290,2018/12,149.92,3222.08,91.64,0,,0,22.05,5.82,-32.19,0,29.79,256.14,-47.76,3.6
(주)골드앤에스,035290,2019/12,-62.1,-66.73,-81.41,0,,0,-61.41,0,-11.95,-2309.06,-19.67,-43.17,9.61,5.17
(주)골드앤에스,035290,2020/12,28.19,-3.45,131.33,0,,0,-26.94,0,-45.85,0,-67.35,-4.9,65.84,96.13
(주)골드카운티,058900,2001/12,,,,,,,,,,,,,,
(주)골드카운티,058900,2002/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)골드카운티,058900,2003/12,39.2,4.88,46.79,163.89,172.26,201.93,875.75,28.52,65.2,0,0,28.43,0,0
(주)골드카운티,058900,2004/12,44.65,71.51,51.5,-14.36,-35.06,-26.19,-4.5,58.66,38.51,0,0,33.53,0,0
(주)골드카운티,058900,2005/12,25.11,2.72,5.34,-251.78,,-320.55,-38.97,-7.74,-14.39,-117.63,1.94,61.53,-16.02,12.54
(주)골드카운티,058900,2006/12,123.5,-23.98,106.3,0,0,0,-89.23,181.58,-26.44,0,2.86,144.16,-28.48,48.24
(주)골드카운티,058900,2007/12,-72.37,-4.13,-62.02,0,,0,1.84,-94.4,-44.38,0,-70.37,-82.88,87.73,487.24
(주)골드카운티,058900,2008/12,154.08,3.14,99.74,0,0,0,0,1726.28,-42.42,0,9.38,276.4,-47.36,-20.99
(주)골드카운티,058900,2009/12,13.28,513.96,-24.03,0,0,0,0,20.57,5.84,0,-25.71,57.85,42.47,-44.2
(주)골드퍼시픽,038530,2000/12,376.98,871.5,332.38,-80.12,-2.55,-16,717.22,446.98,58.58,-49.47,36.84,507.68,15.89,8.92
(주)골드퍼시픽,038530,2001/12,-3.12,7.47,-29.53,0,,0,4.84,-6.74,40.61,-28,17.95,51.93,19.21,35.79
(주)골드퍼시픽,038530,2002/12,-9,-51.07,24.3,0,0,0,384.77,-16.41,109.72,-162.97,18.48,-41.21,77.01,18.91
(주)골드퍼시픽,038530,2003/12,-4.32,281.33,-12.59,0,0,0,-16.88,-22.98,55.31,0,-2.75,12.59,59.71,45.85
(주)골드퍼시픽,038530,2004/12,-38.9,-86.75,-36.73,0,0,0,-88.83,-32.67,-10.09,0,-52.83,-42.36,90.62,84.1
(주)골드퍼시픽,038530,2005/12,-2.08,-25.51,32.1,0,0,0,137.92,-36.31,-58.77,0,20,-61.64,-65.65,-35.35
(주)골드퍼시픽,038530,2006/12,-54.4,-34.39,-65.02,0,0,0,-71,-32.2,49.16,0,-45,9.3,171.19,50.91
(주)골드퍼시픽,038530,2007/12,42.9,-27.22,56.04,0,,0,29.63,50.8,-70.59,-240.3,0,17.68,-70.59,-10.9
(주)골드퍼시픽,038530,2008/12,23.74,2.57,6.4,0,0,0,63.57,43.28,34.46,0,-24.24,67.89,77.49,4.26
(주)골드퍼시픽,038530,2009/12,-2.83,-37.52,19.55,0,0,0,-41.56,0.79,-18.41,144.24,-12,-38.95,-7.28,-18.73
(주)골드퍼시픽,038530,2010/12,4.25,344.88,2.8,0,0,162.41,114.66,2.17,29.4,-5.37,-13.64,8.85,49.83,-3.85
(주)골드퍼시픽,038530,2011/12,19.33,468.65,-12.4,199.56,0,143.03,62.34,3.88,4.84,-33.17,210.53,113.97,-66.24,-68.75
(주)골드퍼시픽,038530,2012/12,8.69,-13.17,25.98,-68.65,0,-74.3,56.32,5.03,-6.64,-4.41,18.64,-12.42,-21.31,-10.27
(주)골드퍼시픽,038530,2013/12,2.2,-17.09,-16.13,0,0,0,-6.26,-25.35,-38.15,-237.44,-20,34.39,-22.69,60.11
(주)골드퍼시픽,038530,2014/12,4.65,-22.15,-1.25,0,0,0,-39.01,-1.25,-25.18,0,-60.71,11.12,90.46,129.72
(주)골드퍼시픽,038530,2015/12,-13.9,-54.28,-9.24,0,0,0,-52.79,19.01,26.08,0,104.55,-18.45,-38.36,-33.7
(주)골드퍼시픽,038530,2016/12,-59.55,-48.34,-61.98,0,,0,-96.75,-90.61,56.63,0,113.33,-56.91,-26.58,-44.8
(주)골드퍼시픽,038530,2017/12,138.88,-2.7,216.54,0,,0,880.92,183.89,-47.52,0,-68.75,64.56,67.92,-13.63
(주)골드퍼시픽,038530,2018/12,40.35,-93.57,27.83,0,,0,48.23,274.44,10.92,-229.91,-13.33,63.4,27.99,164.89
(주)골드퍼시픽,038530,2019/12,95.63,989.71,29.31,0,,0,339.17,4.89,102.89,0,115.38,191.13,-5.8,-10.3
(주)골드퍼시픽,038530,2020/12,-2.09,-22.66,48.73,0,,0,-1.3,183.53,26.6,0,-51.79,-34.6,162.58,77.79
(주)골프존,215000,2015/12,,,,,,,,,,,,,,
(주)골프존,215000,2016/12,0,0,0,0,,0,0,0,0,0,0,0,0,0
(주)골프존,215000,2017/12,34.55,-3.87,88.27,-23.73,0,110.35,-7.63,56.53,-12.7,20.18,-12.86,-5.42,0.18,50.11
(주)골프존,215000,2018/12,6.51,22.39,-6.03,-13.25,,-71.32,-21.75,8.84,11.47,-55.47,92.62,25.09,-42.13,-12.92
(주)골프존,215000,2019/12,19.75,34.88,-47.43,24.46,,-9.04,-7.08,4.1,24.78,72.49,-15.32,94.51,47.36,62.4
(주)골프존,215000,2020/12,14.16,1.15,48.68,42.5,,84.37,4.45,11.21,17.56,30.61,6.78,3.78,10.09,8.41
(주)골프존뉴딘홀딩스,121440,2007/12,,,,,,,,,,,,,,
(주)골프존뉴딘홀딩스,121440,2008/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
